image,study_result_570816,study_result_570817,study_result_570818,study_result_570819,study_result_570820,study_result_570821,study_result_570823,study_result_570824,study_result_570825,study_result_570839,study_result_570841,study_result_570842,study_result_570843,study_result_570844,study_result_570845,study_result_570846,study_result_570848,study_result_570851,study_result_570853,study_result_570854,study_result_570863,study_result_570864,study_result_570865,study_result_570866,study_result_570867,study_result_570868,study_result_570870,study_result_570871,study_result_570872,study_result_570878,study_result_570888,study_result_570889,study_result_570890,study_result_570891,study_result_570892,study_result_570893,study_result_570896,study_result_570897,study_result_570899,study_result_570956,study_result_570957,study_result_570958,study_result_570959,study_result_570961,study_result_570962,study_result_570963,study_result_570969,study_result_570970,study_result_570976,study_result_570977,study_result_570981,phy-dist,vis-sim
Alligator_Rhinoceros,4,4,4,4,4,3,4,4,3,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Alligator_Turtle,4,4,4,4,4,3,4,1,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.56,0.89
Ant_raccoon,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,6.53,0.86
Bear_Cow,3,4,3,3,4,2,4,4,3,4,4,4,4,4,4,3,2,4,4,4,3,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4,4,3,4,4,2,4,4,3,4,4,4,4,4,2,4.33,0.9
Bear_Leopard,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4.01,0.91
Bear_frog,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,4,1,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.86,0.86
Bee_Raccoon,4,4,4,3,4,3,4,4,4,2,4,4,2,2,4,4,4,2,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,2,4,6.53,0.9
Bird_Ant,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,6.53,0.87
Bird_Deer,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,5.77,0.88
Bird_horse,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.87
Camel_Rhinoceros,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,1,3,4,4,4,4,3,4,4,4,3,4,3,4.33,0.9
Camel_Swan,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Cat_Chicken,4,4,4,4,4,3,4,4,4,4,4,4,2,1,4,4,1,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,5.77,0.89
Cat_Sheep,4,4,4,4,4,3,4,4,3,4,4,4,2,4,4,4,4,1,2,4,2,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,1,4,2,4,4,4,1,4,4,4,4,4,3,4.33,0.9
