image,study_result_570816,study_result_570817,study_result_570818,study_result_570819,study_result_570820,study_result_570821,study_result_570823,study_result_570824,study_result_570825,study_result_570839,study_result_570841,study_result_570842,study_result_570843,study_result_570844,study_result_570845,study_result_570846,study_result_570848,study_result_570851,study_result_570853,study_result_570854,study_result_570863,study_result_570864,study_result_570865,study_result_570866,study_result_570867,study_result_570868,study_result_570870,study_result_570871,study_result_570872,study_result_570878,study_result_570888,study_result_570889,study_result_570890,study_result_570891,study_result_570892,study_result_570893,study_result_570896,study_result_570897,study_result_570899,study_result_570956,study_result_570957,study_result_570958,study_result_570959,study_result_570961,study_result_570962,study_result_570963,study_result_570969,study_result_570970,study_result_570976,study_result_570977,study_result_570981,vis-sim,phy-dist,
Alligator_Rhinoceros,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Alligator_Rhinoceros
Alligator_Turtle,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.56,Alligator_Turtle
Ant_raccoon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,6.53,Ant_raccoon
Bear_Cow,2,4,1,2,4,1,1,4,2,4,1,4,4,4,4,4,2,4,4,3,3,1,1,4,4,4,4,4,2,4,4,4,1,1,4,1,2,4,3,4,4,4,4,1,3,4,1,4,1,3,3,0.9,4.33,Bear_Cow
Bear_Leopard,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,3,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,4.01,Bear_Leopard
Bear_frog,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,5.86,Bear_frog
Bee_Raccoon,2,1,1,2,1,2,1,1,1,2,1,1,4,3,2,1,4,3,1,1,2,2,1,2,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.9,6.53,Bee_Raccoon
Bird_Ant,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.87,6.53,Bird_Ant
Bird_Deer,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,5.77,Bird_Deer
Bird_horse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.87,5.77,Bird_horse
Camel_Rhinoceros,2,2,1,1,2,1,1,1,1,1,1,1,3,3,1,3,4,1,4,3,1,2,1,2,1,2,1,2,2,1,3,3,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,3,0.9,4.33,Camel_Rhinoceros
Camel_Swan,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Camel_Swan
Cat_Chicken,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Cat_Chicken
Cat_Sheep,3,2,1,2,2,1,1,1,4,1,1,1,3,2,4,2,2,2,2,3,2,1,1,4,2,3,4,1,3,1,2,1,4,1,3,1,1,1,1,2,2,1,1,3,2,1,1,1,4,1,2,0.9,4.33,Cat_Sheep
Cat_dog,4,1,2,2,3,2,1,4,4,2,3,4,4,4,4,4,2,4,3,2,4,4,4,4,4,3,4,4,4,1,3,1,4,1,4,4,3,4,4,1,1,4,1,4,4,1,4,4,3,1,4,0.94,4.01,Cat_dog
Cow_Lion,2,3,1,1,1,1,1,1,4,1,1,1,4,1,3,2,2,3,2,2,1,1,1,2,1,1,1,3,2,1,2,2,1,1,2,1,2,4,1,1,1,3,1,1,1,1,1,1,2,2,3,0.91,4.33,Cow_Lion
Cow_Mouse,2,2,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0.9,4.54,Cow_Mouse
Cow_dog,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,4.33,Cow_dog
Deer_Elephant ,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,3,1,2,1,1,2,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,0.9,4.6,Deer_Elephant 
Deer_Chicken,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,4,2,1,1,2,1,1,3,1,1,1,1,3,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,5.77,Deer_Chicken
Deer_Eagle,2,1,1,1,1,1,3,2,1,1,1,1,2,3,1,1,3,2,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,0.88,5.77,Deer_Eagle
Deer_Fish,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,6.14,Deer_Fish
Deer_Mouse,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,1,1,0.9,4.54,Deer_Mouse
Deer_Swan,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,5.77,Deer_Swan
Dog_Bear,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,3.81,Dog_Bear
Dog_Raccoon,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,3.81,Dog_Raccoon
Donkey_Cow,2,3,1,2,1,1,1,1,3,1,1,1,4,3,3,1,4,2,1,2,2,1,1,3,1,1,1,2,3,1,2,1,4,1,1,1,2,4,1,2,1,1,1,2,3,1,1,1,1,1,1,0.91,4.33,Donkey_Cow
Donkey_Dog,2,4,1,3,1,3,1,2,2,1,1,1,4,4,4,3,4,1,1,3,2,2,1,4,4,4,3,4,3,1,2,1,4,1,4,1,2,2,1,2,2,3,1,3,3,1,3,1,1,2,1,0.89,4.26,Donkey_Dog
Duck_Fox,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.89,5.77,Duck_Fox
Eagle_Duck,3,1,1,2,1,1,1,2,3,1,1,1,1,4,1,4,3,1,4,3,1,4,1,1,1,1,4,4,2,1,3,4,1,1,2,1,1,1,4,3,1,2,1,3,3,1,2,3,1,1,2,0.89,4.51,Eagle_Duck
Fox_Chicken,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,5.77,Fox_Chicken
Fox_Duck,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.89,5.77,Fox_Duck
Fox_Frog,2,1,1,1,1,2,1,1,1,1,1,1,3,2,1,1,4,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,5.86,Fox_Frog
Fox_Goat,2,2,1,1,2,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.89,4.33,Fox_Goat
Fox_Mouse,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,2,4,1,1,2,1,2,1,2,1,1,1,1,3,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0.89,4.54,Fox_Mouse
Frog_Turtle,2,2,1,1,1,1,1,1,1,1,1,2,1,3,1,4,4,1,1,2,1,1,4,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,5.77,Frog_Turtle
Giraffe_Dog,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,1,1,1,1,3,1,3,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,0.89,4.33,Giraffe_Dog
Giraffe_Donkey,2,2,1,2,3,1,1,2,2,1,1,1,4,2,1,3,2,2,2,3,2,2,1,4,2,3,1,3,3,4,3,4,4,1,2,1,2,4,1,3,2,1,1,1,2,1,2,3,1,1,1,0.9,4.33,Giraffe_Donkey
