image,study_result_570816,study_result_570817,study_result_570818,study_result_570819,study_result_570820,study_result_570821,study_result_570823,study_result_570824,study_result_570825,study_result_570839,study_result_570841,study_result_570842,study_result_570843,study_result_570844,study_result_570845,study_result_570846,study_result_570848,study_result_570851,study_result_570853,study_result_570854,study_result_570863,study_result_570864,study_result_570865,study_result_570866,study_result_570867,study_result_570868,study_result_570870,study_result_570871,study_result_570872,study_result_570878,study_result_570888,study_result_570889,study_result_570890,study_result_570891,study_result_570892,study_result_570893,study_result_570896,study_result_570897,study_result_570899,study_result_570956,study_result_570957,study_result_570958,study_result_570959,study_result_570961,study_result_570962,study_result_570963,study_result_570969,study_result_570970,study_result_570976,study_result_570977,study_result_570981,AVG RT Realness per stimuli,phy-dist
Alligator_Rhinoceros,7448,922,1563,1344,1304,1048,962,1032,4346,991,861,818,2503,2204,949,2423,1375,2635,1440,1063,1055,2649,536,1391,1573,1642,949,1430,951,1999,1343,559,812,659,1479,1001,1151,478,1060,1367,2684,1239,1428,1305,2107,912,1517,1331,1298,1064,872,1511.22,5.77
Alligator_Turtle,3613,1173,1321,1056,1940,882,1363,799,1748,2628,1103,793,5541,1515,926,2080,1025,1135,1497,801,631,1901,944,1174,1580,2142,1381,894,945,6118,1740,735,1167,1166,1023,708,1078,663,2231,1471,1836,1007,1930,2008,2782,1050,2174,1536,1099,1298,860,1572.76,5.56
Ant_raccoon,1497,2021,1377,1802,1363,847,1162,1103,1645,776,705,908,4120,1597,580,4529,1631,4762,3290,919,1390,3043,676,1135,1706,1339,1127,1647,1586,6031,2354,831,1878,2133,1191,731,886,10543,1806,2639,1405,1822,1706,1632,2924,1201,2905,1734,694,1149,1127,1953.04,6.53
Bear_Cow,2649,1429,2229,3637,3077,849,1796,2216,2417,1687,997,1802,4176,1546,1182,2335,1160,2707,1545,1688,1927,2593,1333,1862,2199,1597,3364,2189,892,3382,3721,1095,894,1534,1271,1664,3253,1751,12295,2743,2105,2127,3993,1168,1761,1484,3049,4173,2622,2131,3756,2373.57,4.33
Bear_Leopard,1664,3266,1947,1808,1288,3180,1062,1111,1368,811,1281,1787,2808,1374,1482,1875,1526,1263,1999,1073,918,1385,1473,2175,1651,2274,1052,1854,2204,6638,9788,782,1070,783,1759,731,3094,998,6384,2479,1932,1495,1446,2049,2378,868,1994,1514,1547,930,1100,1974.86,4.01
Bear_frog,2014,1591,1297,2462,1666,931,1028,1183,2265,1186,199765,792,1706,1928,879,3507,1671,1357,1620,1753,1726,1825,731,2335,1590,4309,2041,1031,796,2142,1978,1399,1399,836,1223,955,845,646,1071,2007,1296,2151,2052,1609,1899,1096,2053,1579,995,1435,954,5462.84,5.86
Bee_Raccoon,3546,1512,2359,4307,1618,2532,1680,1319,2098,4117,1355,757,5698,2266,1562,2240,1089,3095,2286,744,1494,6382,490,3320,2714,3635,1298,1126,892,3119,6071,983,2527,913,1895,1102,1461,1024,283,2151,1424,1647,1918,4112,1831,1256,2045,1360,712,3814,1130,2162.92,6.53
Bird_Ant,3730,1146,1277,1041,1198,1347,2246,983,1083,1048,993,697,1768,949,1017,5448,802,3495,1133,808,1877,2343,480,2271,1620,1626,1742,1653,989,4286,6791,815,735,964,1127,719,1061,959,2000,2663,1327,1575,1539,840,3814,1040,1862,1484,1176,646,933,1669.92,6.53
Bird_Deer,3180,1150,1007,2800,1365,780,1214,1231,2084,1158,787,837,3188,1316,1288,2249,666,4024,1116,864,1134,2315,1379,2207,1821,1649,794,1591,896,3590,3112,1166,831,1249,1015,685,966,711,1092,1263,1145,1551,3429,1273,2337,1209,2006,1314,1260,798,1023,1551.27,5.77
Bird_horse,2213,1075,783,1665,1450,899,695,1103,1428,1208,827,1034,2863,1052,733,2954,1425,979,1151,1272,839,1849,601,1678,1832,2207,934,1045,1419,9686,1177,638,1033,1652,911,697,1110,727,989,1423,1701,1335,2407,1506,1508,1049,1758,2269,799,1481,743,1486.51,5.77
Camel_Rhinoceros,5879,2327,939,1405,1844,1114,1193,1646,1565,1506,1363,979,4539,2269,766,4295,1368,1198,3191,1295,1102,2487,421,1533,2326,3047,2649,1783,953,7478,1331,1152,1598,1689,2567,820,806,1232,261,2423,2736,5175,2609,2041,4305,804,1959,1433,2205,1013,1865,2048.71,4.33
Camel_Swan,1796,1046,1195,1104,6239,814,1480,991,1050,873,1068,996,2713,1215,666,6045,1130,13720,1526,784,775,1885,7232,1663,1450,1742,924,1190,1044,1302,1526,2686,560,815,1623,664,1054,2704,1936,3991,1348,1591,2591,1646,1746,969,2074,1116,828,1798,1159,1962.41,5.77
Cat_Chicken,1898,1107,1195,1378,2031,1765,930,1039,3084,1102,913,1022,5286,1150,993,3400,714,1986,1132,864,711,2887,587,1263,1683,1705,10762,2078,1767,1573,28083,582,1286,678,863,1528,1486,1280,1261,2279,1060,2063,2095,1577,1926,827,2223,1838,1432,670,972,2235.57,5.77
Cat_Chicken,3130,2400,1057,1121,1164,998,830,1167,1848,971,2865,1000,2382,1639,1521,6910,2085,2235,1127,1442,1126,3473,623,2334,1776,1548,751,1727,23037,2318,5327,1175,798,771,1183,645,1181,1383,1927,1487,1076,1607,1861,1568,1684,895,1990,1243,4739,966,749,2173.73,5.77
Cat_Sheep,2646,2184,2459,2741,3969,797,929,1191,3818,853,2361,1503,3619,1179,1142,3387,779,3410,3147,1184,1750,2815,670,2862,3714,3619,3005,2055,3407,4717,4985,566,2902,1025,2399,743,790,639,1553,3287,2389,1671,2570,2689,2051,974,2678,4503,2045,523,2266,2258.04,4.33
Cat_dog,1945,1259,3415,2067,2150,1214,1446,1511,1567,7288,10499,2340,2734,1501,1567,2855,1074,2065,1553,1288,1238,4357,6921,1567,2011,2359,4005,1542,1826,1446,3986,670,1286,984,1431,2058,2317,3566,3211,1471,1020,6095,3591,2119,2047,1275,3333,4307,2627,1680,2125,2545.27,4.01
Cow_Lion,3212,2754,973,1554,2209,882,679,1607,3198,1443,2495,1045,2190,1187,2837,2523,794,2676,3160,1336,1279,1719,609,1247,2418,1947,1595,2390,1154,5542,7804,742,1327,1279,1599,708,1175,1520,3153,2231,1140,7839,3695,1169,2026,1056,1749,1861,4473,1531,3416,2159.75,4.33
Cow_Mouse,2412,1092,1375,1300,1233,1165,930,936,4333,1194,4919,1101,4794,2326,1044,2849,4484,4260,1424,890,1551,2409,527,2030,2042,2007,1026,1094,1208,1774,1179,573,1197,1294,1063,596,1239,775,1538,2775,2939,1728,1597,1121,2377,894,5146,1390,1031,1031,992,1807.92,4.54
Cow_dog,3281,2036,1543,1194,1312,1146,896,1086,1778,1075,1129,1008,2688,3074,791,10336,1408,1190,1218,1216,974,2029,673,2222,3013,2128,817,1112,948,4758,1417,1958,990,1104,2623,686,759,751,1645,1071,1392,3263,1252,1709,1884,2505,2176,1213,826,2231,1555,1786.06,4.33
Deer_Elephant ,6745,1614,1087,1496,1351,915,1597,1046,2612,1249,22353,904,1592,1516,768,1993,1319,10727,3047,1504,1008,1473,602,1863,1559,1991,8502,1719,878,6350,1343,983,1639,655,927,664,742,712,7077,1352,4593,1711,2300,2565,1625,1334,3153,1181,102,1513,2401,2548.08,4.6
Deer_Chicken,3196,844,1075,1088,1247,1715,1130,1791,2532,1150,1226,902,4457,933,1794,4076,2188,1456,1403,1488,1536,1465,600,2687,1903,1776,1255,935,928,5958,23597,1134,1437,611,1424,742,1462,656,1872,2887,1156,1663,3050,1326,7622,1093,2502,1859,1794,698,781,2237.25,5.77
Deer_Eagle,2629,2333,1065,1505,1693,982,4630,1326,1286,956,1278,762,2331,1276,765,2940,1519,2059,1081,999,1247,4619,648,1470,2306,1993,804,1543,1196,6894,4473,590,2358,764,1071,641,1389,1550,827,2071,1620,7767,1605,1346,2777,831,2646,1449,107,1197,2772,1882.08,5.77
Deer_Fish,1663,1844,1209,1073,1461,1313,2130,1023,1380,1076,13835,953,3060,1157,1141,1446,739,1118,1389,855,1134,1623,2016,1039,3227,1317,735,1608,1738,4183,1283,1390,1014,1167,855,640,2910,798,1507,1239,1245,1447,1652,1144,1798,965,2034,1596,742,647,657,1670.88,6.14
Deer_Mouse,1963,2315,983,1443,1328,965,1597,1055,2365,902,1123,770,1592,1778,2366,3548,1344,1615,1342,1151,878,2373,2538,1622,1730,2135,857,888,994,3879,1804,703,1687,840,1519,675,870,727,1913,1975,1789,1367,2397,1226,2426,936,4213,1415,87,780,1101,1566.45,4.54
Deer_Swan,1129,1078,2179,1464,1295,1480,1464,4368,1465,1006,1043,1017,2878,1179,803,2276,1438,1814,1233,1648,1454,2473,395,1719,1949,1475,864,1288,1040,3015,1616,1359,830,680,2263,709,1039,1360,1535,1583,1036,1479,1988,1848,1438,1070,1488,1344,1020,1214,802,1482.94,5.77
Dog_Bear,3298,1370,1045,2183,1579,1331,1497,1623,1316,1144,1309,938,2754,2640,1026,6348,1111,1559,1278,1538,727,1965,3519,3383,1778,1662,1138,1088,2386,5037,2587,613,1118,1380,999,787,967,832,938,1728,1492,3167,6757,3235,1966,823,2084,2012,1535,1180,1982,1916.71,3.81
Dog_Raccoon,1345,734,877,1168,1538,1381,996,911,1315,866,3439,871,7417,1099,1199,3217,1558,2739,944,1791,1088,2005,612,1455,2073,1890,1078,1591,902,2662,1171,1199,2413,625,815,787,990,855,2145,1327,1080,1343,1549,977,1513,969,1983,1169,1224,1287,888,1511.18,3.81
Donkey_Cow,4880,2164,1195,10561,1362,847,712,3319,4249,2895,1178,757,2897,2584,2390,2590,1685,2783,1614,904,1567,2389,1399,1927,2465,2358,1927,1399,3330,4669,2044,1175,1415,730,1055,1385,1239,777,2949,3639,1272,2359,1957,2582,2667,1250,2304,1493,1932,798,1035,2177.51,4.33
Donkey_Dog,3731,1490,927,6659,2190,1581,1747,1343,5567,2982,2171,2002,3357,1484,3071,3218,1132,1070,1502,1143,991,2127,711,1583,3029,1728,2871,1517,1610,7703,11008,846,1646,701,1471,877,1662,2096,1516,7216,2112,6711,6312,3217,4390,1214,2276,1625,991,1764,835,2602.41,4.26
Duck_Fox,3432,1227,849,1393,2356,1498,800,1128,1968,1145,7075,854,1771,1322,3924,2729,1813,3251,1195,864,2472,1747,502,1296,1697,1180,2284,1654,900,2751,2638,534,1084,1642,903,607,950,647,1019,4367,1096,2943,1812,1432,1905,1145,2033,1308,1345,741,916,1728.31,5.77
